Model,Accuracy,Balanced accuracy,Macro precision,Macro recall,Macro F1,Log loss,Inference ms per 1000 windows
LightGBM,0.331306990881459,0.27499999999999997,0.1956385118149824,0.27499999999999997,0.18285134778888476,5.537055063736483,4.838799999561161
XGBoost,0.14893617021276595,0.13049645390070921,0.17917107821617503,0.13049645390070921,0.09342894861744776,4.298782277539324,6.55180000103428
Random forest,0.1513677811550152,0.16329787234042553,0.19328048320120803,0.16329787234042553,0.06983733892225784,1.9420283965689515,31.28609999839682
Logistic regression,0.139209726443769,0.16241134751773048,0.02949510561566203,0.16241134751773048,0.04992369740571179,22.93887337534544,1.4066999974602368
Histogram gradient boosting,0.07142857142857142,0.075,0.17724867724867724,0.075,0.03413785605566427,6.689756787438732,14.438099999097176
