Configuration,Accuracy mean,Accuracy std,Balanced accuracy mean,Balanced accuracy std,Macro precision mean,Macro precision std,Macro recall mean,Macro recall std,Macro F1 mean,Macro F1 std,Log loss mean,Log loss std,Inference ms per 1000 windows mean,Inference ms per 1000 windows std
Ankle acceleration and gyroscope,0.8722706969402894,0.03440634196242557,0.8692121551228738,0.035379692997371155,0.8864213137165278,0.030270349528324823,0.8692121551228738,0.035379692997371155,0.859350181101124,0.038086177544547205,0.6495796881517061,0.33134876593876694,17.120198051460182,0.6903691702665338
Ankle acceleration,0.862878648145521,0.02964864489015622,0.859551109362337,0.029720155383917528,0.8759459393527141,0.024453490776788975,0.859551109362337,0.029720155383917528,0.8473914222303364,0.03232800027710476,0.7008856692948626,0.33981143035943906,16.61685278423744,1.5108524774148255
Full common configuration,0.8509581623496077,0.10681512866185787,0.8510178222859995,0.09603146970241494,0.8661288201198808,0.08404652319657904,0.8510178222859995,0.09603146970241494,0.8423553738318885,0.1078929625462573,0.6980268644451516,0.5567460878933909,16.304671503570955,1.0487865346932705
Chest and ankle acceleration,0.7997601315618242,0.17930919292993402,0.8107286539673199,0.14675094854688134,0.8168873642016355,0.15059964103632212,0.8107286539673199,0.14675094854688134,0.7906457908683387,0.17037305519746485,0.8474398791879597,0.7691238715200895,16.2737279752872,1.4137700835571985
Chest acceleration,0.7886325020670002,0.17278428060851006,0.7908373668163658,0.13901351806073464,0.8060652960322332,0.1234624720745758,0.7908373668163658,0.13901351806073464,0.7803220774530101,0.16345328405356524,0.9937263790671542,1.005763981403157,15.803338725698929,0.8831033744642169
