Configuration,within_macro_f1,external_macro_f1,stability_score,inference_efficiency,wearability_score,Channel count,TOPSIS score,TOPSIS rank,EDAS score,EDAS rank,MABAC score,MABAC rank,Mean rank,Final rank
Ankle acceleration,0.8473914222303364,0.0995449696975948,0.9676719997228952,0.06017986757086689,1.0,3,0.41125956858257884,2,0.5808079468105355,2,0.2743172799579022,1,1.6666666666666667,1
Chest acceleration,0.7803220774530101,0.33137662554992636,0.8365467159464348,0.0632777679044384,1.0,3,0.9329449970220868,1,0.9546373146175302,1,0.07846115807152454,3,1.6666666666666667,1
Ankle acceleration and gyroscope,0.859350181101124,0.009412727644771843,0.9619138224554528,0.05841053923524617,0.5,6,0.17738991093812886,4,0.11544516374273725,4,0.13968527698111946,2,3.3333333333333335,3
Chest and ankle acceleration,0.7906457908683387,0.033813995778034504,0.8296269448025352,0.06144873513423416,0.5,6,0.187965441029748,3,0.1577374161831825,3,-0.2269674890623651,5,3.6666666666666665,4
Full common configuration,0.8423553738318885,0.03413785605566427,0.8921070374537428,0.0613321157547385,0.0,9,0.08578914943092095,5,0.006318303539281681,5,-0.007209429736505901,4,4.666666666666667,5
