Configuration,Feature count,Accuracy,Balanced accuracy,Macro precision,Macro recall,Macro F1,Log loss,Inference ms per 1000 windows
Chest acceleration,48,0.496048632218845,0.4120567375886525,0.3640465764850001,0.4120567375886525,0.33137662554992636,2.947247884321534,14.495700001134537
Ankle acceleration,48,0.1325227963525836,0.09343971631205673,0.17261904761904764,0.09343971631205673,0.0995449696975948,7.466232953535541,14.636100000643637
Full common configuration,144,0.07142857142857142,0.075,0.17724867724867724,0.075,0.03413785605566427,6.689756787438732,17.33839999724296
Chest and ankle acceleration,96,0.06139817629179331,0.061170212765957445,0.17487373737373738,0.061170212765957445,0.033813995778034504,5.999070284322205,14.101000000664499
Ankle acceleration and gyroscope,96,0.02796352583586626,0.032624113475177303,0.005499760879961741,0.032624113475177303,0.009412727644771843,8.55651241206602,15.137400001549395
