Model,Accuracy mean,Accuracy std,Balanced accuracy mean,Balanced accuracy std,Macro precision mean,Macro precision std,Macro recall mean,Macro recall std,Macro F1 mean,Macro F1 std,Log loss mean,Log loss std,Inference ms per 1000 windows mean,Inference ms per 1000 windows std
Logistic regression,0.8673146954832318,0.07048003780793148,0.8683684015364596,0.06351245036745487,0.8673564024858115,0.09206220182752713,0.8683684015364596,0.06351245036745487,0.8544327184728115,0.08192164074086522,0.763832289655057,0.6043322469028171,1.4435409553222314,0.03411416338697883
XGBoost,0.8648223227042645,0.08516425342136875,0.8651195366275085,0.07689504343800757,0.863697904728583,0.10066524996620388,0.8651195366275085,0.07689504343800757,0.8537210958086844,0.09292019252835886,0.4219678587154476,0.2542980746709786,9.023804487977287,0.9845530844105302
LightGBM,0.8560532801311264,0.08242486756510262,0.8562022903325208,0.0740474775159509,0.8611542596794178,0.08938964496223659,0.8562022903325208,0.0740474775159509,0.844188598199436,0.08763598322293209,0.5184737141276972,0.24486981221961468,4.694938970025283,0.28735412238182256
Random forest,0.8538789747046756,0.06558327490759,0.8539471163205906,0.060236335391358656,0.8540664892296137,0.09071898317913674,0.8539471163205906,0.060236335391358656,0.8424271384018712,0.07427614168283155,0.43140023938431793,0.16170478604525945,35.66300716718498,1.1893719829523495
Histogram gradient boosting,0.8468609158579753,0.11731277468314605,0.8514788982297198,0.09776971977540441,0.8656117624184959,0.09360083867224653,0.8514788982297198,0.09776971977540441,0.8415052655059521,0.10931663202608591,0.5637525301982552,0.34049333405699317,17.61143966630808,0.7518289053008002
