Model,Accuracy mean,Accuracy std,Balanced accuracy mean,Balanced accuracy std,Macro precision mean,Macro precision std,Macro recall mean,Macro recall std,Macro F1 mean,Macro F1 std,Log loss mean,Log loss std,Inference ms per 1000 windows mean,Inference ms per 1000 windows std
XGBoost,0.8522637575092916,0.10544878461574811,0.8518299659728835,0.09666002925847315,0.8692313954880234,0.08125918354501865,0.8518299659728835,0.09666002925847315,0.8431418520840115,0.10919200763319536,0.5208785709619053,0.4298274775918385,8.552892449864805,0.25008247140769735
Histogram gradient boosting,0.8509581623496077,0.10681512866185787,0.8510178222859995,0.09603146970241494,0.8661288201198808,0.08404652319657904,0.8510178222859995,0.09603146970241494,0.8423553738318885,0.1078929625462573,0.6980268644451516,0.5567460878933909,17.570961274125686,1.4693229694922667
LightGBM,0.8493792713457483,0.10219913976205423,0.8493359361352765,0.09284544254471812,0.8598060375956705,0.08901600094602162,0.8493359361352765,0.09284544254471812,0.8404030802310323,0.1028759343958471,0.6740942159242627,0.5290832330167182,4.846059047827064,0.15646675629700682
Logistic regression,0.8524579860378507,0.0775323465685283,0.8542031535300451,0.06876063688301358,0.850732219653366,0.09206787345150398,0.8542031535300451,0.06876063688301358,0.8392716910191468,0.0877978264399505,0.7437315496669622,0.564000681824784,1.4921135355956165,0.05817405637561817
Random forest,0.8481599899523511,0.06611407641727408,0.8476681498487291,0.059951289868992334,0.84317226944402,0.09085627143371039,0.8476681498487291,0.059951289868992334,0.8327832953556641,0.07645967337623348,0.46969139390900905,0.21059691301096595,35.86626854571278,1.4780486414609793
