Model,Accuracy mean,Accuracy std,Balanced accuracy mean,Balanced accuracy std,Macro precision mean,Macro precision std,Macro recall mean,Macro recall std,Macro F1 mean,Macro F1 std,Log loss mean,Log loss std,Inference ms per 1000 windows mean,Inference ms per 1000 windows std
Logistic regression,0.855622221220225,0.07058541805438374,0.853719955900771,0.07223825810670459,0.8455153362470101,0.10759590463363175,0.853719955900771,0.07223825810670459,0.8375524083908211,0.09143863990157389,0.6539553942751505,0.4847072841925813,1.496763599765546,0.07062157286142297
Random forest,0.8260282915642932,0.08635214641297265,0.821657622972361,0.08842934356854769,0.815717081244311,0.10839937605810153,0.821657622972361,0.08842934356854769,0.807204615711368,0.09541357059304323,0.45078151038230946,0.17413318865579427,34.813950403821494,2.2253604252161407
XGBoost,0.7900096648978719,0.1598606963562759,0.7923997480737626,0.1470484041073865,0.7757445668795425,0.19624950655750928,0.7923997480737626,0.1470484041073865,0.7675531056509778,0.1794375830414366,0.5972594905773467,0.48554891393581623,8.53007218579595,0.3960087112512485
Histogram gradient boosting,0.7849027558870263,0.16942437341077,0.78682999837936,0.1575872632046,0.7811532903177624,0.1965973033834276,0.78682999837936,0.1575872632046,0.7610151809962912,0.1873986352196764,0.843698403586324,0.6777732045638796,15.669468763680078,1.5878143900598687
LightGBM,0.7816663629611306,0.1651711682226313,0.7838628148206563,0.1532665697742268,0.7790977865969609,0.18684578311732183,0.7838628148206563,0.1532665697742268,0.7573279971014478,0.1811631454922243,0.8974278148797422,0.8187994554310664,4.188184961215337,0.2864664350773869
