Direction,Protocol,Best_macro_F1,Mean_macro_F1,Median_macro_F1
MHEALTH -> PAMAP2-6g,All features - raw,0.5714870604032282,0.5007429490064025,0.49533005851264855
MHEALTH -> PAMAP2-6g,Magnitude - CORAL,0.6175752257805506,0.4349992071344328,0.3782724196976634
MHEALTH -> PAMAP2-6g,Magnitude - domain z-score,0.4523059961333478,0.41711106497020517,0.41923699898001415
MHEALTH -> PAMAP2-6g,Magnitude only - raw,0.5986007182371289,0.5733967195710632,0.5885792341495472
PAMAP2-6g -> MHEALTH,All features - raw,0.18309730402074056,0.06578957229107454,0.055997383065141466
PAMAP2-6g -> MHEALTH,Magnitude - CORAL,0.6107501811371608,0.48284222322557174,0.44346421415063714
PAMAP2-6g -> MHEALTH,Magnitude - domain z-score,0.5951524776144715,0.44980004180311417,0.4303856820101856
PAMAP2-6g -> MHEALTH,Magnitude only - raw,0.5683769799769444,0.37339336901006237,0.41153917959410613
