Configuration,Accuracy mean,Accuracy std,Balanced accuracy mean,Balanced accuracy std,Macro precision mean,Macro precision std,Macro recall mean,Macro recall std,Macro F1 mean,Macro F1 std,Log loss mean,Log loss std,Inference ms per 1000 windows mean,Inference ms per 1000 windows std
Full common configuration,0.855622221220225,0.07058541805438374,0.853719955900771,0.07223825810670459,0.8455153362470101,0.10759590463363175,0.853719955900771,0.07223825810670459,0.8375524083908211,0.09143863990157389,0.6539553942751505,0.4847072841925813,1.5031949408131025,0.07418962601950034
Ankle acceleration,0.8447476703858127,0.07255463617760223,0.8424330256785127,0.07402236626900302,0.8448220408345427,0.07959719366451692,0.8424330256785127,0.07402236626900302,0.830235861738749,0.0827519594748796,0.55317994030108,0.42184126278181006,0.6748443659837255,0.022692062385677454
Ankle acceleration and gyroscope,0.8338133825573657,0.08302182628031222,0.8350057686316982,0.0777651623381374,0.842535313547778,0.07130374976148177,0.8350057686316982,0.0777651623381374,0.8231820483893587,0.08644646975480184,0.5853526950022151,0.4305181020338748,1.0411346745392849,0.05750152589958998
Chest and ankle acceleration,0.8100353194909348,0.13384714683105833,0.8137758771081207,0.11832080672174868,0.8259098906935505,0.12621707394016846,0.8137758771081207,0.11832080672174868,0.7915029428533291,0.1556162079071141,0.7785431898140712,0.650874550008981,1.0221892379556514,0.057485196459611886
Chest acceleration,0.7920929268212015,0.12981015138357505,0.7956953020709218,0.11372685791076018,0.8001801183015453,0.12386678051265498,0.7956953020709218,0.11372685791076018,0.7758124159048642,0.15274936076675324,0.7429440586877721,0.6422941394436176,0.67212622956705,0.019291876266065475
