Model,Accuracy mean,Accuracy std,Balanced accuracy mean,Balanced accuracy std,Macro precision mean,Macro precision std,Macro recall mean,Macro recall std,Macro F1 mean,Macro F1 std,Log loss mean,Log loss std,Inference ms per 1000 windows mean,Inference ms per 1000 windows std
XGBoost,0.9170212765957448,0.10845239606701008,0.9031914893617021,0.12652779541151174,0.886651290404834,0.14127769759118922,0.9031914893617021,0.12652779541151174,0.8918869787992412,0.1354913099464353,0.32490609707691454,0.4072476992746393,19.42620060327364,0.574540660516717
Histogram gradient boosting,0.9173252279635259,0.09913351066521735,0.9035460992907801,0.11565576244275354,0.8997360196612932,0.12945212519649743,0.9035460992907801,0.11565576244275354,0.8895069082606722,0.12671783235562764,0.4968290158825165,0.5547443404274401,39.428449846240824,1.9655761175278665
Random forest,0.9173252279635259,0.07986463173210939,0.9035460992907801,0.09317540368746094,0.8841573909896123,0.12375924303178676,0.9035460992907801,0.09317540368746094,0.880716181921622,0.1146026188593175,0.18867029639683586,0.0966316195907599,87.69419452417529,0.9977923758054303
Logistic regression,0.9042553191489361,0.10870009957478573,0.8882978723404256,0.12681678283725006,0.8788021359081266,0.14042958844264325,0.8882978723404256,0.12681678283725006,0.8714779506617131,0.13745308205608564,0.5516420826530533,1.1706428269515003,3.0660790312181776,0.06224635730735773
LightGBM,0.8680851063829786,0.09713982223128473,0.8460992907801419,0.11332979260316552,0.8196856096674093,0.1295534863562069,0.8460992907801419,0.11332979260316552,0.8238261982938908,0.11865838224372471,0.5747366506172216,0.49496299316890424,5.1181154994550235,0.29732131137117357
