Configuration,Accuracy mean,Accuracy std,Balanced accuracy mean,Balanced accuracy std,Macro precision mean,Macro precision std,Macro recall mean,Macro recall std,Macro F1 mean,Macro F1 std,Log loss mean,Log loss std,Inference ms per 1000 windows mean,Inference ms per 1000 windows std
Full common configuration,0.9170212765957448,0.10845239606701008,0.9031914893617021,0.12652779541151174,0.886651290404834,0.14127769759118922,0.9031914893617021,0.12652779541151174,0.8918869787992412,0.1354913099464353,0.32490609707691454,0.4072476992746393,20.767933129804284,0.6469305273197804
Chest and ankle acceleration,0.8835866261398178,0.10925396981939385,0.8641843971631206,0.1274629647892928,0.8322092638935995,0.1429708099253452,0.8641843971631206,0.1274629647892928,0.8426511911490975,0.13631733046638822,0.45888872095111405,0.5100583081480417,15.605227963533252,0.7430581857552062
Ankle acceleration and gyroscope,0.8699088145896656,0.09409737420493301,0.8482269503546099,0.10978026990575519,0.8355204876151369,0.12390307918694878,0.8482269503546099,0.10978026990575519,0.8207729569692018,0.12506924550590828,0.37007222622381947,0.30394288545539355,16.266322188896034,0.4671109018076256
Ankle acceleration,0.8516717325227964,0.12397838108062571,0.8271276595744681,0.14441922005457228,0.80655281174678,0.15862428858820926,0.8271276595744681,0.14441922005457228,0.8047734017407284,0.14899788496695865,0.5558540759729824,0.45769092458944555,12.185227967240342,0.46157104109176283
Chest acceleration,0.851063829787234,0.06657699151346164,0.8262411347517731,0.07767315676570526,0.8153019768126363,0.10049997373493029,0.8262411347517731,0.07767315676570526,0.7949449741189641,0.07417394210358147,0.6510292935101115,0.6417637294025039,11.375805470628219,0.5481116474533185
