Configuration,Accuracy mean,Accuracy std,Balanced accuracy mean,Balanced accuracy std,Macro precision mean,Macro precision std,Macro recall mean,Macro recall std,Macro F1 mean,Macro F1 std,Log loss mean,Log loss std,Inference ms per 1000 windows mean,Inference ms per 1000 windows std
Ankle acceleration,0.8650910833781619,0.04314598393055404,0.8651471620424237,0.042153051711996854,0.8820631034718556,0.0319268610098493,0.8651471620424237,0.042153051711996854,0.8584517287761236,0.04800374568870633,0.6865121749417195,0.6003013861643158,0.848959847090006,0.035925729818804875
Full common configuration,0.8673146954832318,0.07048003780793148,0.8683684015364596,0.06351245036745487,0.8673564024858115,0.09206220182752713,0.8683684015364596,0.06351245036745487,0.8544327184728115,0.08192164074086522,0.763832289655057,0.6043322469028171,1.4454738339789184,0.03584127412520572
Ankle acceleration and gyroscope,0.8458862134747857,0.06472838995776138,0.8469083173070274,0.054961481491222326,0.8645501862431346,0.053002149517959826,0.8469083173070274,0.054961481491222326,0.8410697659439957,0.061704394945428793,0.7186208520696752,0.6218807815846663,1.0652985372051373,0.044837471290502716
Chest and ankle acceleration,0.8204009886219615,0.13893445775984942,0.8314979120105663,0.10602237728519258,0.8495747896889424,0.10508365470659294,0.8314979120105663,0.10602237728519258,0.8112797386125811,0.1424510128968222,0.8941405937344555,0.7074746535974209,1.076025088806422,0.10196905555395454
Chest acceleration,0.7881224531015733,0.14145475721675843,0.7969690013036121,0.10721128106487697,0.7996714135649853,0.14849351968555438,0.7969690013036121,0.10721128106487697,0.7696694316892434,0.15029268510953073,0.716317926617529,0.49196385184562436,0.8886776630685352,0.01935861710892543
